uuid,host,port,accuracy,loss,round,timestamp,session_uuid
f2252504-27b9-4ddb-b254-83627a2c684c,localhost,1883,0.7956666946411133,0.6399125456809998,1,2023-07-14 20:04:17.913314,dd2bdfce-0c42-4360-9886-7ca3ce305375
6ee40a05-c191-4e06-a5f0-05c934558f13,localhost,1883,0.7699999809265137,0.7023113369941711,1,2023-07-14 20:04:17.929304,dd2bdfce-0c42-4360-9886-7ca3ce305375
00bf3ee2-fb7b-45df-bc9b-2b061ec95402,localhost,1883,0.7916666865348816,0.6687996983528137,1,2023-07-14 20:04:17.977335,dd2bdfce-0c42-4360-9886-7ca3ce305375
76a83e36-3488-4ac0-a9e9-1f5aff89a062,localhost,1883,0.7816666960716248,0.6706827878952026,1,2023-07-14 20:04:17.982306,dd2bdfce-0c42-4360-9886-7ca3ce305375
56f969a0-12d1-46e9-ac27-6706e6a5fbfb,localhost,1883,0.7829999923706055,0.6850484013557434,1,2023-07-14 20:04:18.204192,dd2bdfce-0c42-4360-9886-7ca3ce305375
1cafe96d-5f23-4bae-b3b3-15ae27f1a35d,localhost,1883,0.7906666398048401,0.6356143951416016,1,2023-07-14 20:04:18.356182,dd2bdfce-0c42-4360-9886-7ca3ce305375
9f3121fd-7d4d-4d7a-9cb2-0468d63b6f52,localhost,1883,0.7963333129882812,0.6458887457847595,1,2023-07-14 20:04:19.267617,dd2bdfce-0c42-4360-9886-7ca3ce305375
7c4635c3-5948-4889-8f9a-ea35919d96e2,localhost,1883,0.8023333549499512,0.6454257965087891,1,2023-07-14 20:04:19.536820,dd2bdfce-0c42-4360-9886-7ca3ce305375
76a83e36-3488-4ac0-a9e9-1f5aff89a062,localhost,1883,0.9020000100135803,0.32126423716545105,2,2023-07-14 20:04:27.112888,dd2bdfce-0c42-4360-9886-7ca3ce305375
00bf3ee2-fb7b-45df-bc9b-2b061ec95402,localhost,1883,0.903333306312561,0.3157179057598114,2,2023-07-14 20:04:27.125908,dd2bdfce-0c42-4360-9886-7ca3ce305375
f2252504-27b9-4ddb-b254-83627a2c684c,localhost,1883,0.890666663646698,0.3376668691635132,2,2023-07-14 20:04:27.166893,dd2bdfce-0c42-4360-9886-7ca3ce305375
6ee40a05-c191-4e06-a5f0-05c934558f13,localhost,1883,0.9079999923706055,0.3132498264312744,2,2023-07-14 20:04:27.181888,dd2bdfce-0c42-4360-9886-7ca3ce305375
9f3121fd-7d4d-4d7a-9cb2-0468d63b6f52,localhost,1883,0.9006666541099548,0.3153981566429138,2,2023-07-14 20:04:27.185886,dd2bdfce-0c42-4360-9886-7ca3ce305375
56f969a0-12d1-46e9-ac27-6706e6a5fbfb,localhost,1883,0.8989999890327454,0.335252970457077,2,2023-07-14 20:04:27.885473,dd2bdfce-0c42-4360-9886-7ca3ce305375
1cafe96d-5f23-4bae-b3b3-15ae27f1a35d,localhost,1883,0.9013333320617676,0.3121112287044525,2,2023-07-14 20:04:28.008462,dd2bdfce-0c42-4360-9886-7ca3ce305375
89c3ec5c-8f98-4166-9e77-cc1409f82b34,localhost,1883,0.9056666493415833,0.31283074617385864,2,2023-07-14 20:04:29.181459,dd2bdfce-0c42-4360-9886-7ca3ce305375
76a83e36-3488-4ac0-a9e9-1f5aff89a062,localhost,1883,0.9313333630561829,0.24513515830039978,3,2023-07-14 20:04:35.781873,dd2bdfce-0c42-4360-9886-7ca3ce305375
f2252504-27b9-4ddb-b254-83627a2c684c,localhost,1883,0.9236666560173035,0.23672915995121002,3,2023-07-14 20:04:35.790868,dd2bdfce-0c42-4360-9886-7ca3ce305375
6ee40a05-c191-4e06-a5f0-05c934558f13,localhost,1883,0.925000011920929,0.24871081113815308,3,2023-07-14 20:04:35.921873,dd2bdfce-0c42-4360-9886-7ca3ce305375
9f3121fd-7d4d-4d7a-9cb2-0468d63b6f52,localhost,1883,0.9183333516120911,0.2644931972026825,3,2023-07-14 20:04:35.987864,dd2bdfce-0c42-4360-9886-7ca3ce305375
1cafe96d-5f23-4bae-b3b3-15ae27f1a35d,localhost,1883,0.92166668176651,0.254141241312027,3,2023-07-14 20:04:36.233863,dd2bdfce-0c42-4360-9886-7ca3ce305375
89c3ec5c-8f98-4166-9e77-cc1409f82b34,localhost,1883,0.9290000200271606,0.245416060090065,3,2023-07-14 20:04:36.337870,dd2bdfce-0c42-4360-9886-7ca3ce305375
